id,publicUrl,r2Key,downloadUrl,status
"portfolio-couple-session-010-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-010.webp","portfolio/couple/session-010.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-010.jpg","pending"
"portfolio-couple-session-011-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-011.webp","portfolio/couple/session-011.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-011.jpg","pending"
"portfolio-couple-session-012-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-012.webp","portfolio/couple/session-012.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-012.jpg","pending"
"portfolio-couple-session-013-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-013.webp","portfolio/couple/session-013.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-013.jpg","pending"
"portfolio-couple-session-014-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-014.webp","portfolio/couple/session-014.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-014.jpg","pending"
"portfolio-couple-session-015-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-015.webp","portfolio/couple/session-015.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-015.jpg","pending"
"portfolio-doctor-white-coat-001-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-001.webp","portfolio/doctor/white-coat-001.webp","https://2026readdy.goldennextai.com/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-001.jpg","pending"
"portfolio-doctor-white-coat-002-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-002.webp","portfolio/doctor/white-coat-002.webp","https://2026readdy.goldennextai.com/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-002.jpg","pending"
"portfolio-doctor-white-coat-005-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-005.webp","portfolio/doctor/white-coat-005.webp","https://2026readdy.goldennextai.com/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-005.jpg","pending"
"portfolio-doctor-white-coat-006-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-006.webp","portfolio/doctor/white-coat-006.webp","https://2026readdy.goldennextai.com/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-006.jpg","pending"
"portfolio-doctor-white-coat-007-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-007.webp","portfolio/doctor/white-coat-007.webp","https://2026readdy.goldennextai.com/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-007.jpg","pending"
"portfolio-doctor-white-coat-008-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-008.webp","portfolio/doctor/white-coat-008.webp","https://2026readdy.goldennextai.com/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-008.jpg","pending"
"portfolio-doctor-white-coat-009-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-009.webp","portfolio/doctor/white-coat-009.webp","https://2026readdy.goldennextai.com/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-009.jpg","pending"
"portfolio-doctor-white-coat-010-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-010.webp","portfolio/doctor/white-coat-010.webp","https://2026readdy.goldennextai.com/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-010.jpg","pending"
"portfolio-doctor-white-coat-011-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-011.webp","portfolio/doctor/white-coat-011.webp","https://2026readdy.goldennextai.com/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-011.jpg","pending"
"portfolio-doctor-white-coat-012-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-012.webp","portfolio/doctor/white-coat-012.webp","https://2026readdy.goldennextai.com/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-012.jpg","pending"
"portfolio-doctor-white-coat-013-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-013.webp","portfolio/doctor/white-coat-013.webp","https://2026readdy.goldennextai.com/photo-inbox/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-013.jpg","pending"
"portfolio-doctor-white-coat-015-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-015.webp","portfolio/doctor/white-coat-015.webp","https://2026readdy.goldennextai.com/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-015.jpg","pending"
"portfolio-doctor-white-coat-016-webp","https://photo.goldenyearsphoto.com/portfolio/doctor/white-coat-016.webp","portfolio/doctor/white-coat-016.webp","https://2026readdy.goldennextai.com/photo-inbox/19-portfolio-doctor-white-coat-taipei-need-15/taipei-doctor-white-coat-medical-headshot-portfolio-016.jpg","pending"
"portfolio-family-session-001-webp","https://photo.goldenyearsphoto.com/portfolio/family/session-001.webp","portfolio/family/session-001.webp","https://2026readdy.goldennextai.com/22-portfolio-family-taipei-need-15/taipei-family-portrait-photography-portfolio-001.jpg","pending"
"portfolio-family-session-002-webp","https://photo.goldenyearsphoto.com/portfolio/family/session-002.webp","portfolio/family/session-002.webp","https://2026readdy.goldennextai.com/photo-inbox/22-portfolio-family-taipei-need-15/taipei-family-portrait-photography-portfolio-002.jpg","pending"
"portfolio-family-session-003-webp","https://photo.goldenyearsphoto.com/portfolio/family/session-003.webp","portfolio/family/session-003.webp","https://2026readdy.goldennextai.com/22-portfolio-family-taipei-need-15/taipei-family-portrait-photography-portfolio-003.jpg","pending"
"portfolio-family-session-004-webp","https://photo.goldenyearsphoto.com/portfolio/family/session-004.webp","portfolio/family/session-004.webp","https://2026readdy.goldennextai.com/22-portfolio-family-taipei-need-15/taipei-family-portrait-photography-portfolio-004.jpg","pending"
"portfolio-family-session-005-webp","https://photo.goldenyearsphoto.com/portfolio/family/session-005.webp","portfolio/family/session-005.webp","https://2026readdy.goldennextai.com/22-portfolio-family-taipei-need-15/taipei-family-portrait-photography-portfolio-005.jpg","pending"
"portfolio-family-session-006-webp","https://photo.goldenyearsphoto.com/portfolio/family/session-006.webp","portfolio/family/session-006.webp","https://2026readdy.goldennextai.com/22-portfolio-family-taipei-need-15/taipei-family-portrait-photography-portfolio-006.jpg","pending"
"portfolio-family-session-007-webp","https://photo.goldenyearsphoto.com/portfolio/family/session-007.webp","portfolio/family/session-007.webp","https://2026readdy.goldennextai.com/22-portfolio-family-taipei-need-15/taipei-family-portrait-photography-portfolio-007.jpg","pending"
"portfolio-family-session-008-webp","https://photo.goldenyearsphoto.com/portfolio/family/session-008.webp","portfolio/family/session-008.webp","https://2026readdy.goldennextai.com/22-portfolio-family-taipei-need-15/taipei-family-portrait-photography-portfolio-008.jpg","pending"
